date,equal_topk,vol_scaled,kelly,kelly_spy,topk_spy,spy_hold,cash
2005-04-08,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-04-11,100.17355609670402,100.16361415593792,99.89594553804166,99.89594553804166,100.17355609670402,100.07624106722987,100.01061139518683
2005-04-12,99.83117728198788,99.8833650550623,100.54520126327444,100.54520126327444,99.83117728198788,100.59321620575086,100.02122391639071
2005-04-13,97.4626460601543,98.29868282680232,99.20952483558197,99.20952483558197,97.4626460601543,99.40671698309859,100.03187620967512
2005-04-14,95.28264731286696,96.77025380109373,97.8913259410373,97.8913259410373,95.28264731286696,98.11015116213702,100.04252963743228
2005-04-15,92.13678475147974,94.55495774783984,96.14582702880499,96.14582702880499,92.13678475147974,96.7372392849947,100.05322285021107
2005-04-18,92.90031956116327,95.09574728200168,96.43734942875098,96.43734942875098,92.90031956116327,97.03389033789549,100.06438076855673
2005-04-19,95.1080579935178,96.53727305221777,97.15869617544539,97.15869617544539,95.1080579935178,97.80504372646637,100.07553993123156
2005-04-20,92.95126914812407,95.13523965866847,95.91149842297187,95.91149842297187,92.95126914812407,96.44065504324448,100.08654584293745
2005-04-21,97.50946044457521,97.90563898087247,97.71621369831819,97.71621369831819,97.50946044457521,98.31350521551703,100.09759159874963
2005-04-22,96.72866751408162,97.43454679140214,97.10171976609931,97.10171976609931,96.72866751408162,97.94064172873661,100.10883170738431
2005-04-25,98.94179745402556,98.87933232326857,98.1076570785453,98.1076570785453,98.94179745402556,98.58471076450759,100.12011169806168
2005-04-26,97.57669744708205,97.95849238631412,97.2455569212102,97.2455569212102,97.57669744708205,97.6271256325465,100.1313157075465
2005-04-27,96.22165519569843,97.06212168023532,97.69999333409348,97.69999333409348,96.22165519569843,98.00842641319662,100.14240505150943
2005-04-28,94.21912538685658,95.72705095551306,96.64699190542139,96.64699190542139,94.21912538685658,96.77963573224496,100.15345697205804
2005-04-29,94.76696941284676,96.04848223889584,97.84444429681433,97.84444429681433,94.76696941284676,98.09320021879697,100.16458742018061
2005-05-02,95.60565961364281,96.65887221847325,98.26484922050342,98.26484922050342,95.60565961364281,98.64406769954796,100.17587369325994
2005-05-03,95.01635047681823,96.2507426692067,98.22926648504811,98.22926648504811,95.01635047681823,98.81358667739845,100.1870452896067
2005-05-04,96.92165553455789,97.539051368315,99.5158260570022,99.5158260570022,96.92165553455789,99.57621687204892,100.1980634642305
2005-05-05,97.574164907174,97.96751158330811,99.31702007143038,99.31702007143038,97.574164907174,99.54237225206931,100.20885071127756
2005-05-06,98.57727962919836,98.65570963069959,99.32566321612725,99.32566321612725,98.57727962919836,99.22877025582848,100.21983259929794
2005-05-09,98.64684931028846,98.60585287346056,99.87763790430238,99.87763790430238,98.70470833162702,99.84744150993964,100.23104776811832
2005-05-10,97.67703950975071,97.74835951216285,99.03921696084171,99.03921696084171,97.60690422358962,98.81358667739845,100.24218683921163
2005-05-11,98.02122276189868,98.14308940051492,99.5073941525873,99.5073941525873,98.01823924428285,99.35591187532886,100.25321107808475
2005-05-12,96.56583823532841,96.93727708630291,98.55464678878205,98.55464678878205,96.42753046316545,98.26263329659675,100.264275227413
2005-05-13,95.5640755924988,96.0191199906259,97.95312759117525,97.95312759117525,95.40169368648888,98.06776425933683,100.27510832760082
2005-05-16,96.91833743452479,96.92821651503507,99.08462661981812,99.08462661981812,96.74505174688173,98.98304838854845,100.28625229531762
2005-05-17,98.56765244606187,97.93140030827723,99.83487488288787,99.83487488288787,98.39141785634847,99.64403973430923,100.29732009114215
2005-05-18,101.22660069645706,99.71332788618064,100.97745309077168,100.97745309077168,101.04561202523365,100.66947636188088,100.30831167452193
2005-05-19,102.20943388299898,100.22891624616567,101.2939623655469,101.2939623655469,102.0266879496405,101.09321176758156,100.31934318554266
2005-05-20,101.77236628507276,99.98657672841053,101.1673328049112,101.1673328049112,101.59040180918929,100.94912874919122,100.33045335317463
2005-05-23,102.87722016371052,100.92616343512174,101.53703603964829,101.53703603964829,102.69328025810779,101.50844306826201,100.3418744092093
2005-05-24,103.66907949599491,101.51129689376229,101.4554509613446,101.4554509613446,103.48372378103618,101.27116803930176,100.353180658504
2005-05-25,103.74835634933041,101.34833337003087,100.91638855409765,100.91638855409765,103.56285889087492,101.19490788317174,100.36452689214691
2005-05-26,105.13250433561316,102.53738002552514,101.48799215223806,101.48799215223806,104.94453208196462,101.73728080335253,100.37583569386175
2005-05-27,105.94788671188657,103.37528950305888,101.72483357220128,101.72483357220128,105.75845659072293,101.90674251450255,100.3872232043331
