date,incumbent_weekly,ltr_weekly,monthly_reg,quintile_prob_weekly,spy_hold,cash
2015-03-06,100.0,100.0,,100.0,100.0,100.0
2015-03-09,100.50067779184853,99.97177828095467,,100.38058859719727,100.4144766730121,100.00007935717541
2015-03-10,98.07227058145914,98.11967265044953,,99.00370650652279,98.78555672940807,100.00015871441379
2015-03-11,97.97264904811487,98.3531300660943,,98.60435597833975,98.55421470082177,100.00027774443902
2015-03-12,98.13402832926346,100.0023540204822,,100.21789202163104,99.80725058643415,100.00039677460593
2015-03-13,98.53521596359607,98.65489131391828,,99.02466011781367,99.19519931015812,100.00051580491454
2015-03-16,100.33797618781786,99.82862164410021,,100.3351112942102,100.52047950278111,100.00071416924622
2015-03-17,100.74221476084824,99.76622703231578,,99.90558325157788,100.22168274662617,100.00091253397137
2015-03-18,102.57728200100007,101.0129690390552,,101.44120931173356,101.42650234551402,100.00103156489389
2015-03-19,102.49850335611355,101.03450980378089,,100.70089979396084,100.9638628011615,100.00115059595808
2015-03-20,104.30012157243165,101.67640852068348,100.0,101.91793654847518,101.85507177736753,100.0011902769782
2015-03-23,104.3287106792377,101.56941810534421,99.88491096445266,101.79657312845025,101.65659801513773,100.0013093082313
2015-03-24,104.07356418016384,101.38799312734048,98.9734407098376,101.07491498580882,101.0853649948868,100.00138866644573
2015-03-25,100.81179762280914,98.91992399411163,96.86758777724953,99.77846369291399,99.6040940755306,100.00154736719662
2015-03-26,100.18283511601642,98.22101073338929,96.19015790027215,99.29536373224445,99.3669030623841,100.00166639887476
2015-03-27,101.53573198185295,97.60852447003056,96.69633335566502,99.21847793995802,99.59441698844242,100.0018251000664
2015-03-30,102.74392539978957,98.88349323079778,97.78145848538104,100.64506213991686,100.80945673082357,100.0019838015099
2015-03-31,101.79590159612265,98.58202352019421,96.87438176670082,100.53844611926627,99.92839667759871,100.00210283370753
2015-04-01,100.47900472331315,97.53420090258243,96.65971772867366,99.29998499934331,99.57503610657402,100.00222186604684
2015-04-02,100.08690387220547,97.9975702690629,98.27031611161637,99.32529278611406,99.93325747755286,100.00230122498546
2015-04-06,100.5821530752969,99.55838532199913,100.07267293203991,99.57467212097995,100.60613997376771,100.00242025756091
2015-04-07,100.73683311527166,98.822595753655,100.08732368345368,99.22969139834657,100.33988208910061,100.00249961665695
2015-04-08,101.02108526845078,99.44401554031685,100.2785141865148,99.80050576450229,100.6787581884671,100.00261864946857
2015-04-09,101.24062995102523,100.72328359125832,101.50028308321197,99.58669616077134,101.12407334323952,100.00273768242185
2015-04-10,102.17293884107988,100.99523840311127,101.11743042341634,99.78887091615206,101.67593438418605,100.0028170417698
2015-04-13,101.43040793755347,100.84082472125361,100.83610953745146,99.33628795703606,101.21604573211526,100.00293607495924
2015-04-14,101.76881188866079,100.22799554524276,101.05972855895685,99.44815026500352,101.40969430464699,100.00301543446463
2015-04-15,101.99510921993684,101.17838729458424,102.95091143124213,99.6575060953711,101.86471325419963,100.003094794033
2015-04-16,102.41772808538508,101.3310275500342,102.3778809885604,99.50468770529372,101.83568199293511,100.00317415366435
2015-04-17,101.20008812666539,100.41753233507382,100.45751315021195,97.96770592455024,100.66423810655283,100.00321383548744
2015-04-20,102.03346642043775,101.98405574404971,101.85589717045342,98.6056600015989,101.58393528761825,100.0033328691492
2015-04-21,103.46420823507195,101.74254026248667,102.02088006026187,98.40795788364339,101.46294054004198,100.00345190295262
2015-04-22,104.05868527205963,103.1419055105709,101.3037316395309,98.31509618234395,101.9615464430295,100.00357093689775
2015-04-23,104.3080495582463,102.24023603173487,100.89988044937796,98.50616751063546,102.21811833804442,100.00368997098454
2015-04-24,103.67915210306207,102.32458237785639,100.60408100926071,98.58238569420686,102.4552915460629,100.00380900521304
2015-04-27,103.4485015287056,103.24686936418651,101.02296274568475,98.0638577709635,102.02933056546684,100.00388836541117
